service_id,date,exception_type
"454_64882","20180529","1"
"454_64882","20180530","1"
"454_64882","20180531","1"
"454_64882","20180605","1"
"454_64882","20180606","1"
"454_64882","20180607","1"
"454_64883","20170915","1"
"454_64883","20170918","1"
"454_64883","20170922","1"
"454_64883","20170925","1"
"454_64883","20170929","1"
"454_64883","20171002","1"
"454_64883","20171006","1"
"454_64883","20171009","1"
"454_64883","20171013","1"
"454_64883","20171016","1"
"454_64883","20171020","1"
"454_64883","20171023","1"
"454_64883","20171027","1"
"454_64883","20171030","1"
"454_64883","20171103","1"
"454_64883","20171106","1"
"454_64883","20171110","1"
"454_64883","20171113","1"
"454_64883","20171117","1"
"454_64883","20171120","1"
"454_64883","20171124","1"
"454_64883","20171127","1"
"454_64883","20171201","1"
"454_64883","20171204","1"
"454_64883","20171211","1"
"454_64883","20171215","1"
"454_64883","20171218","1"
"454_64883","20171222","1"
"454_64883","20180108","1"
"454_64883","20180112","1"
"454_64883","20180115","1"
"454_64883","20180119","1"
"454_64883","20180122","1"
"454_64883","20180126","1"
"454_64883","20180129","1"
"454_64883","20180202","1"
"454_64883","20180205","1"
"454_64883","20180209","1"
"454_64883","20180212","1"
"454_64883","20180216","1"
"454_64883","20180219","1"
"454_64883","20180223","1"
"454_64883","20180226","1"
"454_64883","20180302","1"
"454_64883","20180305","1"
"454_64883","20180309","1"
"454_64883","20180312","1"
"454_64883","20180316","1"
"454_64883","20180319","1"
"454_64883","20180323","1"
"454_64883","20180326","1"
"454_64883","20180406","1"
"454_64883","20180409","1"
"454_64883","20180413","1"
"454_64883","20180416","1"
"454_64883","20180420","1"
"454_64883","20180423","1"
"454_64883","20180427","1"
"454_64883","20180430","1"
"454_64883","20180504","1"
"454_64883","20180507","1"
"454_64883","20180511","1"
"454_64883","20180514","1"
"454_64883","20180518","1"
"454_64883","20180521","1"
"454_64883","20180525","1"
"454_64883","20180528","1"
"454_64883","20180601","1"
"454_64883","20180604","1"
"454_64884","20171102","1"
"454_64884","20171227","1"
"454_64884","20171228","1"
"454_64884","20171229","1"
"454_64884","20171230","1"
"454_64884","20180102","1"
"454_64884","20180103","1"
"454_64884","20180104","1"
"454_64884","20180105","1"
"454_64884","20180329","1"
"454_64884","20180330","1"
"454_64884","20180331","1"
"454_64884","20180403","1"
"454_64885","20171229","1"
"454_64885","20180105","1"
"454_64885","20180330","1"
"454_64886","20171102","1"
"454_64886","20171227","1"
"454_64886","20171228","1"
"454_64886","20171230","1"
"454_64886","20180102","1"
"454_64886","20180103","1"
"454_64886","20180104","1"
"454_64886","20180329","1"
"454_64886","20180331","1"
"454_64886","20180403","1"
"454_64887","20170917","1"
"454_64887","20170924","1"
"454_64887","20171001","1"
"454_64887","20171008","1"
"454_64887","20171015","1"
"454_64887","20171022","1"
"454_64887","20171029","1"
"454_64887","20171101","1"
"454_64887","20171105","1"
"454_64887","20171112","1"
"454_64887","20171119","1"
"454_64887","20171126","1"
"454_64887","20171203","1"
"454_64887","20171208","1"
"454_64887","20171210","1"
"454_64887","20171217","1"
"454_64887","20171224","1"
"454_64887","20171225","1"
"454_64887","20171226","1"
"454_64887","20171231","1"
"454_64887","20180101","1"
"454_64887","20180106","1"
"454_64887","20180107","1"
"454_64887","20180114","1"
"454_64887","20180121","1"
"454_64887","20180128","1"
"454_64887","20180204","1"
"454_64887","20180211","1"
"454_64887","20180218","1"
"454_64887","20180225","1"
"454_64887","20180304","1"
"454_64887","20180311","1"
"454_64887","20180318","1"
"454_64887","20180325","1"
"454_64887","20180401","1"
"454_64887","20180402","1"
"454_64887","20180408","1"
"454_64887","20180415","1"
"454_64887","20180422","1"
"454_64887","20180425","1"
"454_64887","20180429","1"
"454_64887","20180501","1"
"454_64887","20180506","1"
"454_64887","20180513","1"
"454_64887","20180520","1"
"454_64887","20180527","1"
"454_64887","20180602","1"
"454_64887","20180603","1"
"454_64888","20170915","1"
"454_64888","20170916","1"
"454_64888","20170918","1"
"454_64888","20170919","1"
"454_64888","20170920","1"
"454_64888","20170921","1"
"454_64888","20170922","1"
"454_64888","20170923","1"
"454_64888","20170925","1"
"454_64888","20170926","1"
"454_64888","20170927","1"
"454_64888","20170928","1"
"454_64888","20170929","1"
"454_64888","20170930","1"
"454_64888","20171002","1"
"454_64888","20171003","1"
"454_64888","20171004","1"
"454_64888","20171005","1"
"454_64888","20171006","1"
"454_64888","20171007","1"
"454_64888","20171009","1"
"454_64888","20171010","1"
"454_64888","20171011","1"
"454_64888","20171012","1"
"454_64888","20171013","1"
"454_64888","20171014","1"
"454_64888","20171016","1"
"454_64888","20171017","1"
"454_64888","20171018","1"
"454_64888","20171019","1"
"454_64888","20171020","1"
"454_64888","20171021","1"
"454_64888","20171023","1"
"454_64888","20171024","1"
"454_64888","20171025","1"
"454_64888","20171026","1"
"454_64888","20171027","1"
"454_64888","20171028","1"
"454_64888","20171030","1"
"454_64888","20171031","1"
"454_64888","20171103","1"
"454_64888","20171104","1"
"454_64888","20171106","1"
"454_64888","20171107","1"
"454_64888","20171108","1"
"454_64888","20171109","1"
"454_64888","20171110","1"
"454_64888","20171111","1"
"454_64888","20171113","1"
"454_64888","20171114","1"
"454_64888","20171115","1"
"454_64888","20171116","1"
"454_64888","20171117","1"
"454_64888","20171118","1"
"454_64888","20171120","1"
"454_64888","20171121","1"
"454_64888","20171122","1"
"454_64888","20171123","1"
"454_64888","20171124","1"
"454_64888","20171125","1"
"454_64888","20171127","1"
"454_64888","20171128","1"
"454_64888","20171129","1"
