stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"10681","Brandolini","44.1482511469092","12.304067885436","0",""
"10682","Brandolini","44.1480820534125","12.3040975152736","0",""
"10691","Locanda Appennino","44.0878316856463","11.9787080150492","0",""
"10692","Locanda Appennino","44.0876370860646","11.9783812889228","0",""
"10702","Saffi","44.1988161014716","12.3954507185875","0",""
"10711","Cesenatico Fs","44.1999344075739","12.3919226190439","0",""
"10712","Stazione Cesenatico","44.2010692509683","12.3923788846493","0",""
"1072","Centro Studi (Raggi)","44.2124777442477","12.0400254782116","0",""
"10721","Cesenatico (P. Comandini)","44.1987074789226","12.4005533391186","0",""
"10722","Cesenatico (P. Comandini)","44.1987830164601","12.4003785747669","0",""
"10731","Cesenatico (V.Le Roma)","44.2003673451845","12.4037806541362","0",""
"10732","Cesenatico (V.Le Roma)","44.1999833410837","12.4035066567523","0",""
"10741","Bologna","44.1996853587094","12.4064780523862","0",""
"10742","Bologna","44.1986188808569","12.4072956457662","0",""
"10751","Carducci Trento","44.1974038269634","12.4085848530331","0",""
"10752","Carducci Trento","44.1972173701265","12.4084411330313","0",""
"10762","Milano","44.1953268429223","12.4101910493321","0",""
"10771","Marconi","44.1927180287443","12.4127596073731","0",""
"10772","Marconi","44.1926736483433","12.4126068898892","0",""
"10781","Colonia Agip","44.1899354144416","12.4158129164328","0",""
"10782","Colonia Agip","44.1897155535535","12.4158455598924","0",""
"10791","Ungaretti","44.1874491295053","12.4186445962572","0",""
"10792","Ungaretti","44.1876064650434","12.4182009274667","0",""
"10801","Michelangelo","44.180972897152","12.4262381669917","0",""
"10802","Michelangelo","44.18085704917","12.4261986104469","0",""
"1081","Teatro Testori","44.226731812184","12.0511232364923","0",""
"10811","Villa Marina","44.1764467066123","12.4320068171953","0",""
"10812","Villa Marina","44.176307507913","12.4319205507419","0",""
"1082","Teatro Testori","44.2267887874248","12.0516230694455","0",""
